ticker,quelle,jahre,roic,umsatz_cagr,eps_cagr,ek_cagr,fcf_cagr
OTEX.TO,Yahoo,4.0,7.1,5.4,66.4,-0.1,7.2
VNP.TO,Yahoo,4.0,8.3,14.0,,20.8,91.0
5214.T,Yahoo,4.0,2.7,-1.4,8.1,-2.1,18.1
8830.T,Yahoo,4.0,3.9,4.0,10.2,11.1,
TOTS3.SA,Yahoo,4.0,12.3,15.0,22.6,5.8,8.8
GDDY,SEC,11.0,5.5,32.4,,-7.3,19.8
2331.HK,Yahoo,4.0,12.6,4.7,-9.7,4.3,19.6
ASM.TO,Yahoo,4.0,6.0,27.8,78.3,,-34.5
TPG.AX,Yahoo,4.0,0.7,-2.4,-3.6,-10.0,81.7
CYL.AX,Yahoo,3.0,1.6,123.7,124.0,87.1,
0762.HK,Yahoo,4.0,5.2,3.4,7.3,2.5,-7.1
T.TO,Yahoo,4.0,5.0,3.6,-14.5,-1.6,26.4
RDC.DE,Yahoo,4.0,-4.4,34.7,,9.0,
BMW.DE,Yahoo,4.0,8.7,-2.2,-24.2,3.2,
NOW,SEC,11.0,-6.7,26.2,,36.8,35.0
1801.T,Yahoo,4.0,9.3,8.3,62.0,4.6,71.0
9988.HK,Yahoo,4.0,8.3,5.6,17.0,2.3,
STN.TO,Yahoo,4.0,10.7,12.8,23.7,17.6,51.1
ECHO,SEC,11.0,-20.4,61.2,,4.5,
FRES.L,Yahoo,4.0,12.7,23.3,72.0,7.9,
TIMS3.SA,Yahoo,4.0,14.4,7.3,37.4,-1.9,26.2
GLW,SEC,11.0,8.0,26.4,26.8,-4.5,3.8
RENT3.SA,Yahoo,4.0,9.1,32.9,-6.0,7.5,
1812.T,Yahoo,4.0,10.0,8.6,22.2,10.4,
STM.DE,Yahoo,4.0,8.8,5.1,-39.4,-3.1,10.2
AUTO.L,Yahoo,4.0,46.1,7.7,4.8,-8.3,3.9
4704.T,Yahoo,4.0,22.1,7.2,7.0,-17.0,5.2
NWL.AX,Yahoo,4.0,52.2,21.6,27.8,9.6,-14.4
HVN.AX,Yahoo,4.0,12.5,-0.2,-13.9,4.1,0.6
BPT.AX,Yahoo,4.0,1.9,5.9,-11.2,-5.5,
RADL3.SA,Yahoo,4.0,17.7,15.0,9.8,11.1,
2382.HK,Yahoo,4.0,9.7,9.2,-18.4,10.1,-9.6
0700.HK,Yahoo,4.0,14.4,10.7,7.7,17.0,25.9
2688.HK,Yahoo,4.0,13.2,0.6,-8.0,7.0,1.6
ORA.AX,Yahoo,4.0,9.7,-20.1,54.4,58.2,-13.8
EZTC3.SA,Yahoo,4.0,6.2,10.2,17.6,4.0,
1928.HK,Yahoo,4.0,13.2,66.8,,,
JUN3.DE,Yahoo,4.0,11.0,4.9,2.7,6.2,
4568.T,Yahoo,4.0,10.8,18.4,35.1,4.8,
QCOM,SEC,11.0,2.2,23.3,22.3,-14.6,9.8
BR,SEC,11.0,12.1,24.2,21.2,10.5,9.5
6862.HK,Yahoo,4.0,35.2,11.7,44.2,10.4,-9.6
YAL.AX,Yahoo,4.0,21.1,-18.3,-50.2,4.0,-56.1
TPL,SEC,6.0,38.5,60.8,-33.1,24.6,22.0
INW.MI,Yahoo,4.0,5.1,8.1,8.7,-8.1,6.2
ISRG,SEC,11.0,11.9,38.2,4.7,15.2,14.7
9984.T,Yahoo,4.0,6.0,5.9,,25.0,
