ticker,name,land
2007.KS,2007,Suedkorea
2007.T,2007,Japan
2008.KS,2008,Suedkorea
2008.T,2008,Japan
2009.KS,2009,Suedkorea
2009.T,2009,Japan
2010.KS,2010,Suedkorea
2010.T,2010,Japan
2011.KS,2011,Suedkorea
2011.T,2011,Japan
2012.KS,2012,Suedkorea
2012.T,2012,Japan
2013.KS,2013,Suedkorea
2013.T,2013,Japan
2014.KS,2014,Suedkorea
2014.T,2014,Japan
2015.HK,Li Auto,Hongkong
2015.KS,2015,Suedkorea
2015.T,2015,Japan
2016.KS,2016,Suedkorea
2016.T,2016,Japan
2017.KS,2017,Suedkorea
2017.T,2017,Japan
2018.KS,2018,Suedkorea
2018.T,2018,Japan
2019.KS,2019,Suedkorea
2019.T,2019,Japan
2020.HK,Anta Sports,Hongkong
2020.KS,2020,Suedkorea
2020.T,2020,Japan
2021.KS,2021,Suedkorea
2021.T,2021,Japan
2022.KS,2022,Suedkorea
2022.T,2022,Japan
2023.KS,2023,Suedkorea
2023.T,2023,Japan
2024.KS,2024,Suedkorea
2024.T,2024,Japan
2025.KS,2025,Suedkorea
2025.T,2025,Japan
2026.T,2026,Japan
2057.HK,ZTO Express,Hongkong
2269.HK,WuXi Biologics,Hongkong
2269.T,2269,Japan
2282.T,2282,Japan
2313.HK,Shenzhou International,Hongkong
2318.HK,Ping An Insurance,Hongkong
2319.HK,Mengniu Dairy,Hongkong
2331.HK,Li-Ning,Hongkong
2359.HK,WuXi AppTec,Hongkong
2382.HK,Sunny Optical,Hongkong
2388.HK,BOC Hong Kong (Holdings) Ltd,Hongkong
2413.T,2413,Japan
2432.T,2432,Japan
2501.T,2501,Japan
2502.T,2502,Japan
2503.T,2503,Japan
2618.HK,JD Logistics,Hongkong
2628.HK,China Life,Hongkong
2688.HK,ENN Energy,Hongkong
2768.T,2768,Japan
2801.T,2801,Japan
2802.T,2802,Japan
2871.T,2871,Japan
2899.HK,Zijin Mining,Hongkong
2914.T,2914,Japan
3086.T,3086,Japan
3092.T,3092,Japan
3099.T,3099,Japan
3289.T,3289,Japan
3382.T,3382,Japan
3401.T,3401,Japan
3402.T,3402,Japan
3405.T,3405,Japan
3407.T,3407,Japan
3436.T,3436,Japan
360.AX,Life360,Australien
3659.T,3659,Japan
3690.HK,Meituan,Hongkong
3692.HK,Hansoh Pharmaceutical Group,Hongkong
3697.T,3697,Japan
3861.T,3861,Japan
3968.HK,China Merchants Bank,Hongkong
3988.HK,Bank of China Ltd,Hongkong
4004.T,4004,Japan
4005.T,4005,Japan
4021.T,4021,Japan
4042.T,4042,Japan
4043.T,4043,Japan
4061.T,4061,Japan
4063.T,4063,Japan
4151.T,4151,Japan
4183.T,4183,Japan
4188.T,4188,Japan
4208.T,4208,Japan
4307.T,4307,Japan
4324.T,4324,Japan
4385.T,4385,Japan
4452.T,4452,Japan
4502.T,4502,Japan
4503.T,4503,Japan
4506.T,4506,Japan
4507.T,4507,Japan
4519.T,4519,Japan
4523.T,4523,Japan
4543.T,4543,Japan
4568.T,4568,Japan
4578.T,4578,Japan
4661.T,4661,Japan
4689.T,4689,Japan
4704.T,4704,Japan
4751.T,4751,Japan
4755.T,4755,Japan
4901.T,4901,Japan
4902.T,4902,Japan
4911.T,4911,Japan
4DX.AX,4DMedical,Australien
5019.T,5019,Japan
5020.T,5020,Japan
5101.T,5101,Japan
5108.T,5108,Japan
5201.T,5201,Japan
5214.T,5214,Japan
5233.T,5233,Japan
5301.T,5301,Japan
5332.T,5332,Japan
5333.T,5333,Japan
5401.T,5401,Japan
5406.T,5406,Japan
5411.T,5411,Japan
5631.T,5631,Japan
5706.T,5706,Japan
5711.T,5711,Japan
5713.T,5713,Japan
5714.T,5714,Japan
5801.T,5801,Japan
5802.T,5802,Japan
5803.T,5803,Japan
5831.T,5831,Japan
6098.T,6098,Japan
6103.T,6103,Japan
6113.T,6113,Japan
6146.T,6146,Japan
6178.T,6178,Japan
6273.T,6273,Japan
6301.T,6301,Japan
6302.T,6302,Japan
6305.T,6305,Japan
6326.T,6326,Japan
6361.T,6361,Japan
6367.T,6367,Japan
6471.T,6471,Japan
6472.T,6472,Japan
6473.T,6473,Japan
6479.T,6479,Japan
6501.T,6501,Japan
6503.T,6503,Japan
6504.T,6504,Japan
6506.T,6506,Japan
6526.T,6526,Japan
6532.T,6532,Japan
6594.T,6594,Japan
6618.HK,JD Health,Hongkong
6645.T,6645,Japan
6690.HK,Haier,Hongkong
6701.T,6701,Japan
6702.T,6702,Japan
6723.T,6723,Japan
6724.T,6724,Japan
6752.T,6752,Japan
